ID,Year,Month,Region,POE,Crossing,Modes,Northbound Crossing
200911World Trade BridgeTrucks,2009,11,Laredo,Laredo,World Trade Bridge,Commercial Trucks,96578
200911World Trade BridgePOVs,2009,11,Laredo,Laredo,World Trade Bridge,Passenger Vehicles,0
200911World Trade BridgePedestrians,2009,11,Laredo,Laredo,World Trade Bridge,Pedestrians/ Bicyclists,6889
200911World Trade BridgeRailcars,2009,11,Laredo,Laredo,World Trade Bridge,Railcars,0
200911Brownsville & Matamoros Express BridgeBuses,2009,11,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Buses,0
200911Brownsville & Matamoros Express BridgeTrucks,2009,11,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Commercial Trucks,0
200911Brownsville & Matamoros Express BridgePOVs,2009,11,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Passenger Vehicles,134282
200911Brownsville & Matamoros Express BridgePedestrians,2009,11,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Pedestrians/ Bicyclists,53037
200911Brownsville & Matamoros Express BridgeRailcars,2009,11,Pharr,Brownsville,Brownsville & Matamoros Express Bridge,Railcars,0
200911Free Trade International Bridge (Los Indios)Buses,2009,11,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Buses,0
200911Free Trade International Bridge (Los Indios)Trucks,2009,11,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Commercial Trucks,2158
200911Free Trade International Bridge (Los Indios)POVs,2009,11,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Passenger Vehicles,58480
200911Free Trade International Bridge (Los Indios)Pedestrians,2009,11,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Pedestrians/ Bicyclists,47
200911Free Trade International Bridge (Los Indios)Railcars,2009,11,Pharr,Brownsville,Free Trade International Bridge (Los Indios),Railcars,0
200911Gateway International BridgeBuses,2009,11,Pharr,Brownsville,Gateway International Bridge,Buses,0
200911Gateway International BridgeTrucks,2009,11,Pharr,Brownsville,Gateway International Bridge,Commercial Trucks,0
200911Gateway International BridgePOVs,2009,11,Pharr,Brownsville,Gateway International Bridge,Passenger Vehicles,126622
200911Gateway International BridgePedestrians,2009,11,Pharr,Brownsville,Gateway International Bridge,Pedestrians/ Bicyclists,152998
200911Gateway International BridgeRailcars,2009,11,Pharr,Brownsville,Gateway International Bridge,Railcars,0
200911Veterans International Bridge at Los TomatesBuses,2009,11,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Buses,664
200911Veterans International Bridge at Los TomatesTrucks,2009,11,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Commercial Trucks,13614
200911Veterans International Bridge at Los TomatesPOVs,2009,11,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Passenger Vehicles,138368
200911Veterans International Bridge at Los TomatesPedestrians,2009,11,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Pedestrians/ Bicyclists,4142
200911Veterans International Bridge at Los TomatesRailcars,2009,11,Pharr,Brownsville,Veterans International Bridge at Los Tomates,Railcars,0
200911West Rail BridgeBuses,2009,11,Pharr,Brownsville,West Rail Bridge,Buses,0
200911West Rail BridgeTrucks,2009,11,Pharr,Brownsville,West Rail Bridge,Commercial Trucks,0
200911West Rail BridgePOVs,2009,11,Pharr,Brownsville,West Rail Bridge,Passenger Vehicles,0
200911West Rail BridgePedestrians,2009,11,Pharr,Brownsville,West Rail Bridge,Pedestrians/ Bicyclists,0
200911West Rail BridgeRailcars,2009,11,Pharr,Brownsville,West Rail Bridge,Railcars,2457
200911McAllen-Hidalgo International BridgeBuses,2009,11,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Buses,1937
200911McAllen-Hidalgo International BridgeTrucks,2009,11,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Commercial Trucks,0
200911McAllen-Hidalgo International BridgePOVs,2009,11,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Passenger Vehicles,384292
200911McAllen-Hidalgo International BridgePedestrians,2009,11,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Pedestrians/ Bicyclists,190316
200911McAllen-Hidalgo International BridgeRailcars,2009,11,Pharr,Hidalgo,McAllen-Hidalgo International Bridge,Railcars,0
200911Pharr International BridgeBuses,2009,11,Pharr,Hidalgo,Pharr International Bridge,Buses,8
200911Pharr International BridgeTrucks,2009,11,Pharr,Hidalgo,Pharr International Bridge,Commercial Trucks,35383
200911Pharr International BridgePOVs,2009,11,Pharr,Hidalgo,Pharr International Bridge,Passenger Vehicles,148585
200911Pharr International BridgePedestrians,2009,11,Pharr,Hidalgo,Pharr International Bridge,Pedestrians/ Bicyclists,8855
200911Pharr International BridgeRailcars,2009,11,Pharr,Hidalgo,Pharr International Bridge,Railcars,0
200911Progreso International BridgeBuses,2009,11,Pharr,Progreso,Progreso International Bridge,Buses,3
200911Progreso International BridgeTrucks,2009,11,Pharr,Progreso,Progreso International Bridge,Commercial Trucks,3384
200911Progreso International BridgePOVs,2009,11,Pharr,Progreso,Progreso International Bridge,Passenger Vehicles,63313
200911Progreso International BridgePedestrians,2009,11,Pharr,Progreso,Progreso International Bridge,Pedestrians/ Bicyclists,79406
200911Progreso International BridgeRailcars,2009,11,Pharr,Progreso,Progreso International Bridge,Railcars,0
200911Los Ebanos FerryBuses,2009,11,Pharr,Rio Grande City,Los Ebanos Ferry,Buses,0
200911Los Ebanos FerryTrucks,2009,11,Pharr,Rio Grande City,Los Ebanos Ferry,Commercial Trucks,0
200911Los Ebanos FerryPOVs,2009,11,Pharr,Rio Grande City,Los Ebanos Ferry,Passenger Vehicles,2598
200911Los Ebanos FerryPedestrians,2009,11,Pharr,Rio Grande City,Los Ebanos Ferry,Pedestrians/ Bicyclists,3766
200911Los Ebanos FerryRailcars,2009,11,Pharr,Rio Grande City,Los Ebanos Ferry,Railcars,0
200911Starr-Camargo BridgeBuses,2009,11,Pharr,Rio Grande City,Starr-Camargo Bridge,Buses,0
200911Starr-Camargo BridgeTrucks,2009,11,Pharr,Rio Grande City,Starr-Camargo Bridge,Commercial Trucks,1588
200911Starr-Camargo BridgePOVs,2009,11,Pharr,Rio Grande City,Starr-Camargo Bridge,Passenger Vehicles,40376
200911Starr-Camargo BridgePedestrians,2009,11,Pharr,Rio Grande City,Starr-Camargo Bridge,Pedestrians/ Bicyclists,1992
200911Starr-Camargo BridgeRailcars,2009,11,Pharr,Rio Grande City,Starr-Camargo Bridge,Railcars,0
200911Lake Falcon Dam International CrossingBuses,2009,11,Pharr,Roma,Lake Falcon Dam International Crossing,Buses,0
200911Lake Falcon Dam International CrossingTrucks,2009,11,Pharr,Roma,Lake Falcon Dam International Crossing,Commercial Trucks,0
200911Lake Falcon Dam International CrossingPOVs,2009,11,Pharr,Roma,Lake Falcon Dam International Crossing,Passenger Vehicles,13076
200911Lake Falcon Dam International CrossingPedestrians,2009,11,Pharr,Roma,Lake Falcon Dam International Crossing,Pedestrians/ Bicyclists,0
200911Lake Falcon Dam International CrossingRailcars,2009,11,Pharr,Roma,Lake Falcon Dam International Crossing,Railcars,0
200911Roma-Ciudad Miguel Alemán International BridgeBuses,2009,11,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Buses,64
200911Roma-Ciudad Miguel Alemán International BridgeTrucks,2009,11,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Commercial Trucks,559
200911Roma-Ciudad Miguel Alemán International BridgePOVs,2009,11,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Passenger Vehicles,70095
200911Roma-Ciudad Miguel Alemán International BridgePedestrians,2009,11,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Pedestrians/ Bicyclists,24196
200911Roma-Ciudad Miguel Alemán International BridgeRailcars,2009,11,Pharr,Roma,Roma-Ciudad Miguel Alemán International Bridge,Railcars,0
200912Bridge of the AmericasBuses,2009,12,El Paso,El Paso,Bridge of the Americas,Buses,1321
200912Bridge of the AmericasTrucks,2009,12,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,27059
200912Bridge of the AmericasPOVs,2009,12,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,288625
200912Bridge of the AmericasPedestrians,2009,12,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,96267
200912Bridge of the AmericasRailcars,2009,12,El Paso,El Paso,Bridge of the Americas,Railcars,0
200912Good Neighbor BridgeBuses,2009,12,El Paso,El Paso,Good Neighbor Bridge,Buses,0
200912Good Neighbor BridgeTrucks,2009,12,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0
200912Good Neighbor BridgePOVs,2009,12,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,102910
200912Good Neighbor BridgePedestrians,2009,12,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0
200912Good Neighbor BridgeRailcars,2009,12,El Paso,El Paso,Good Neighbor Bridge,Railcars,0
200912Paso del Norte BridgeBuses,2009,12,El Paso,El Paso,Paso del Norte Bridge,Buses,766
200912Paso del Norte BridgeTrucks,2009,12,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0
200912Paso del Norte BridgePOVs,2009,12,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,199071
200912Paso del Norte BridgePedestrians,2009,12,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,444797
200912Paso del Norte BridgeRailcars,2009,12,El Paso,El Paso,Paso del Norte Bridge,Railcars,0
