ID,Year,Region,POE,Crossing,Modes,Northbound Crossing
2008-VETE-Buses,2008,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Buses,8658
2008-VETE-Trucks,2008,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Commercial Trucks,186248
2008-VETE-POVs,2008,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Passenger Vehicles,1683227
2008-VETE-Pedestrians,2008,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Pedestrians/ Bicyclists,46196
2008-VETE-Railcars,2008,Rio Grande Valley,Brownsville,Veterans International Bridge at Los Tomates,Railcars,0
2008-WEST-Buses,2008,Rio Grande Valley,Brownsville,West Rail Bridge,Buses,0
2008-WEST-Trucks,2008,Rio Grande Valley,Brownsville,West Rail Bridge,Commercial Trucks,0
2008-WEST-POVs,2008,Rio Grande Valley,Brownsville,West Rail Bridge,Passenger Vehicles,0
2008-WEST-Pedestrians,2008,Rio Grande Valley,Brownsville,West Rail Bridge,Pedestrians/ Bicyclists,0
2008-WEST-Railcars,2008,Rio Grande Valley,Brownsville,West Rail Bridge,Railcars,72861
2008-MCAL-Buses,2008,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Buses,32932
2008-MCAL-Trucks,2008,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Commercial Trucks,0
2008-MCAL-POVs,2008,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Passenger Vehicles,5230546
2008-MCAL-Pedestrians,2008,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Pedestrians/ Bicyclists,1978341
2008-MCAL-Railcars,2008,Rio Grande Valley,Hidalgo,McAllen-Hidalgo International Bridge,Railcars,0
2008-PHAR-Buses,2008,Rio Grande Valley,Hidalgo,Pharr International Bridge,Buses,195
2008-PHAR-Trucks,2008,Rio Grande Valley,Hidalgo,Pharr International Bridge,Commercial Trucks,476000
2008-PHAR-POVs,2008,Rio Grande Valley,Hidalgo,Pharr International Bridge,Passenger Vehicles,1752224
2008-PHAR-Pedestrians,2008,Rio Grande Valley,Hidalgo,Pharr International Bridge,Pedestrians/ Bicyclists,111262
2008-PHAR-Railcars,2008,Rio Grande Valley,Hidalgo,Pharr International Bridge,Railcars,0
2008-PROG-Buses,2008,Rio Grande Valley,Progreso,Progreso International Bridge,Buses,175
2008-PROG-Trucks,2008,Rio Grande Valley,Progreso,Progreso International Bridge,Commercial Trucks,44440
2008-PROG-POVs,2008,Rio Grande Valley,Progreso,Progreso International Bridge,Passenger Vehicles,876374
2008-PROG-Pedestrians,2008,Rio Grande Valley,Progreso,Progreso International Bridge,Pedestrians/ Bicyclists,1215858
2008-PROG-Railcars,2008,Rio Grande Valley,Progreso,Progreso International Bridge,Railcars,0
2008-LOSE-Buses,2008,Rio Grande Valley,Rio Grande City,Los Ebanos Ferry,Buses,0
2008-LOSE-Trucks,2008,Rio Grande Valley,Rio Grande City,Los Ebanos Ferry,Commercial Trucks,0
2008-LOSE-POVs,2008,Rio Grande Valley,Rio Grande City,Los Ebanos Ferry,Passenger Vehicles,19844
2008-LOSE-Pedestrians,2008,Rio Grande Valley,Rio Grande City,Los Ebanos Ferry,Pedestrians/ Bicyclists,25143
2008-LOSE-Railcars,2008,Rio Grande Valley,Rio Grande City,Los Ebanos Ferry,Railcars,0
2008-STAR-Buses,2008,Rio Grande Valley,Rio Grande City,Starr-Camargo Bridge,Buses,0
2008-STAR-Trucks,2008,Rio Grande Valley,Rio Grande City,Starr-Camargo Bridge,Commercial Trucks,30461
2008-STAR-POVs,2008,Rio Grande Valley,Rio Grande City,Starr-Camargo Bridge,Passenger Vehicles,601763
2008-STAR-Pedestrians,2008,Rio Grande Valley,Rio Grande City,Starr-Camargo Bridge,Pedestrians/ Bicyclists,15941
2008-STAR-Railcars,2008,Rio Grande Valley,Rio Grande City,Starr-Camargo Bridge,Railcars,0
2008-LAKF-Buses,2008,Rio Grande Valley,Roma,Lake Falcon Dam International Crossing,Buses,0
2008-LAKF-Trucks,2008,Rio Grande Valley,Roma,Lake Falcon Dam International Crossing,Commercial Trucks,38
2008-LAKF-POVs,2008,Rio Grande Valley,Roma,Lake Falcon Dam International Crossing,Passenger Vehicles,148459
2008-LAKF-Pedestrians,2008,Rio Grande Valley,Roma,Lake Falcon Dam International Crossing,Pedestrians/ Bicyclists,0
2008-LAKF-Railcars,2008,Rio Grande Valley,Roma,Lake Falcon Dam International Crossing,Railcars,0
2008-ROMA-Buses,2008,Rio Grande Valley,Roma,Roma-Ciudad Miguel Alemán International Bridge,Buses,1049
2008-ROMA-Trucks,2008,Rio Grande Valley,Roma,Roma-Ciudad Miguel Alemán International Bridge,Commercial Trucks,7535
2008-ROMA-POVs,2008,Rio Grande Valley,Roma,Roma-Ciudad Miguel Alemán International Bridge,Passenger Vehicles,839881
2008-ROMA-Pedestrians,2008,Rio Grande Valley,Roma,Roma-Ciudad Miguel Alemán International Bridge,Pedestrians/ Bicyclists,300148
2008-ROMA-Railcars,2008,Rio Grande Valley,Roma,Roma-Ciudad Miguel Alemán International Bridge,Railcars,0
2009-BRID-Buses,2009,El Paso,El Paso,Bridge of the Americas,Buses,11918
2009-BRID-Trucks,2009,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,316731
2009-BRID-POVs,2009,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,4338255
2009-BRID-Pedestrians,2009,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,902311
2009-BRID-Railcars,2009,El Paso,El Paso,Bridge of the Americas,Railcars,0
2009-GOOD-Buses,2009,El Paso,El Paso,Good Neighbor Bridge,Buses,0
2009-GOOD-Trucks,2009,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0
2009-GOOD-POVs,2009,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,1219274
2009-GOOD-Pedestrians,2009,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0
2009-GOOD-Railcars,2009,El Paso,El Paso,Good Neighbor Bridge,Railcars,0
2009-PASO-Buses,2009,El Paso,El Paso,Paso del Norte Bridge,Buses,7474
2009-PASO-Trucks,2009,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0
2009-PASO-POVs,2009,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,2010814
