Year,Month,Region,POE,Crossing,Modes,Northbound Crossing,source
2025,3,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,4603,ELP_pdf
2025,3,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,243,ELP_pdf
2025,3,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,1014,ELP_pdf
2025,3,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,65522,ELP_pdf
2025,3,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,21146,ELP_pdf
2025,3,El Paso,Ysleta,Ysleta Bridge,Buses,0,ELP_pdf
2025,3,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,56157,ELP_pdf
2025,3,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,318541,ELP_pdf
2025,3,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,151469,ELP_pdf
2025,4,El Paso,El Paso,Bridge of the Americas,Buses,812,ELP_pdf
2025,4,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,13047,ELP_pdf
2025,4,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,286984,ELP_pdf
2025,4,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,107288,ELP_pdf
2025,4,El Paso,El Paso,El Paso Railroad Bridges,Railcars,8401,ELP_pdf
2025,4,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,4,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,4,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,146696,ELP_pdf
2025,4,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,4,El Paso,El Paso,Paso del Norte Bridge,Buses,332,ELP_pdf
2025,4,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,4,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,216386,ELP_pdf
2025,4,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,310677,ELP_pdf
2025,4,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,4,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,4,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,9677,ELP_pdf
2025,4,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,176,ELP_pdf
2025,4,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,4,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,1974,ELP_pdf
2025,4,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,52577,ELP_pdf
2025,4,El Paso,Marcelino Serna,Marcelino Serna Bridge,Pedestrians/ Bicyclists,7476,ELP_pdf
2025,4,El Paso,Presidio,Boquillas,Buses,0,ELP_pdf
2025,4,El Paso,Presidio,Boquillas,Commercial Trucks,0,ELP_pdf
2025,4,El Paso,Presidio,Boquillas,Passenger Vehicles,0,ELP_pdf
2025,4,El Paso,Presidio,Boquillas,Pedestrians/ Bicyclists,2670,ELP_pdf
2025,4,El Paso,Presidio,Presidio-Ojinaga International Bridge,Buses,179,ELP_pdf
2025,4,El Paso,Presidio,Presidio-Ojinaga International Bridge,Commercial Trucks,971,ELP_pdf
2025,4,El Paso,Presidio,Presidio-Ojinaga International Bridge,Passenger Vehicles,61121,ELP_pdf
2025,4,El Paso,Presidio,Presidio-Ojinaga International Bridge,Pedestrians/ Bicyclists,20430,ELP_pdf
2025,4,El Paso,Ysleta,Ysleta Bridge,Buses,0,ELP_pdf
2025,4,El Paso,Ysleta,Ysleta Bridge,Commercial Trucks,54073,ELP_pdf
2025,4,El Paso,Ysleta,Ysleta Bridge,Passenger Vehicles,316853,ELP_pdf
2025,4,El Paso,Ysleta,Ysleta Bridge,Pedestrians/ Bicyclists,160085,ELP_pdf
2025,5,El Paso,El Paso,Bridge of the Americas,Buses,826,ELP_pdf
2025,5,El Paso,El Paso,Bridge of the Americas,Commercial Trucks,14548,ELP_pdf
2025,5,El Paso,El Paso,Bridge of the Americas,Passenger Vehicles,290891,ELP_pdf
2025,5,El Paso,El Paso,Bridge of the Americas,Pedestrians/ Bicyclists,90315,ELP_pdf
2025,5,El Paso,El Paso,El Paso Railroad Bridges,Railcars,9805,ELP_pdf
2025,5,El Paso,El Paso,Good Neighbor Bridge,Buses,0,ELP_pdf
2025,5,El Paso,El Paso,Good Neighbor Bridge,Commercial Trucks,0,ELP_pdf
2025,5,El Paso,El Paso,Good Neighbor Bridge,Passenger Vehicles,148979,ELP_pdf
2025,5,El Paso,El Paso,Good Neighbor Bridge,Pedestrians/ Bicyclists,0,ELP_pdf
2025,5,El Paso,El Paso,Paso del Norte Bridge,Buses,338,ELP_pdf
2025,5,El Paso,El Paso,Paso del Norte Bridge,Commercial Trucks,0,ELP_pdf
2025,5,El Paso,El Paso,Paso del Norte Bridge,Passenger Vehicles,229921,ELP_pdf
2025,5,El Paso,El Paso,Paso del Norte Bridge,Pedestrians/ Bicyclists,33814,ELP_pdf
2025,5,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Buses,0,ELP_pdf
2025,5,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Commercial Trucks,0,ELP_pdf
2025,5,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Passenger Vehicles,10517,ELP_pdf
2025,5,El Paso,Marcelino Serna,Fort Hancock-El Porvenir Bridge,Pedestrians/ Bicyclists,146,ELP_pdf
2025,5,El Paso,Marcelino Serna,Marcelino Serna Bridge,Buses,0,ELP_pdf
2025,5,El Paso,Marcelino Serna,Marcelino Serna Bridge,Commercial Trucks,4027,ELP_pdf
2025,5,El Paso,Marcelino Serna,Marcelino Serna Bridge,Passenger Vehicles,53043,ELP_pdf
